Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Response To BMP Stimulus (GO:0071773),6/66,0.002987520758609,0.0366103856974077,0,0,4.579342723004695,26.62114531687354,TMEM100;TGFBR3;GDF10;BMP2;SMAD6;ENG
GO_Biological_Process_2023,Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),5/46,0.0030398479915574,0.0366103856974077,0,0,5.576912092305935,32.32349119145374,LAMA4;NPR3;ALDH1A1;ID1;ZNF423
GO_Biological_Process_2023,Regulation Of Integrin Activation (GO:0033623),3/14,0.0030508654747839,0.0366103856974077,0,0,12.43293070565798,72.01563709645106,PTGER4;RASIP1;FERMT2
GO_Biological_Process_2023,"Blood Coagulation, Fibrin Clot Formation (GO:0072378)",3/14,0.0030508654747839,0.0366103856974077,0,0,12.43293070565798,72.01563709645106,THBD;F8;FBLN1
GO_Biological_Process_2023,Renal Water Homeostasis (GO:0003091),3/14,0.0030508654747839,0.0366103856974077,0,0,12.43293070565798,72.01563709645106,WFS1;AQP4;AQP1
GO_Biological_Process_2023,Smooth Muscle Contraction (GO:0006939),3/14,0.0030508654747839,0.0366103856974077,0,0,12.43293070565798,72.01563709645106,EDNRA;MYH11;MYLK
GO_Biological_Process_2023,Pathway-Restricted SMAD Protein Phosphorylation (GO:0060389),3/14,0.0030508654747839,0.0366103856974077,0,0,12.43293070565798,72.01563709645106,TGFBR3;BMP2;TGFBR2
GO_Biological_Process_2023,Protein Activation Cascade (GO:0072376),3/14,0.0030508654747839,0.0366103856974077,0,0,12.43293070565798,72.01563709645106,THBD;F8;FBLN1
GO_Biological_Process_2023,Regulation Of Muscle Contraction (GO:0006937),4/29,0.0033239104832687,0.0389799068915802,0,0,7.305794392523365,41.69134368689489,CNN1;CAV1;TNNC1;MYL9
GO_Biological_Process_2023,Regulation Of Signal Transduction (GO:0009966),11/193,0.0032664232801657,0.0389799068915802,0,0,2.7830910182454125,15.930579113424963,SEMA5A;SOCS2;RGS5;GRK5;TMEM204;PTCH1;KCTD12;CD36;CLU;CD55;FGFR2
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),8/114,0.0033332310844027,0.0389799068915802,0,0,3.4642221431114275,19.759275813727577,IL33;IL6;TYROBP;HYAL2;ARRB1;IRAK3;GAS6;AGER
GO_Biological_Process_2023,Regulation Of Wound Healing (GO:0061041),5/47,0.0033424799387707,0.0389799068915802,0,0,5.443849671015947,31.03561698184574,DUOX1;ALOX5;CAV1;MYLK;HBEGF
GO_Biological_Process_2023,Bicellular Tight Junction Assembly (GO:0070830),5/47,0.0033424799387707,0.0389799068915802,0,0,5.443849671015947,31.03561698184574,CDH5;CLDN5;RAMP2;PECAM1;CLDN18
GO_Biological_Process_2023,Regulation Of Interleukin-2 Production (GO:0032663),5/47,0.0033424799387707,0.0389799068915802,0,0,5.443849671015947,31.03561698184574,ZFP36;SFTPD;VSIG4;CD34;SPTBN1
KEGG_2021_Human,TGF-beta signaling pathway,7/94,0.0042658534475695,0.0403585719229281,0,0,3.688086544962813,20.12630507801719,BMP2;ID1;ID4;ID3;SMAD6;DCN;TGFBR2
KEGG_2021_Human,Malaria,5/50,0.0043800000536511,0.0403585719229281,0,0,5.080145719489982,27.588780594898505,IL6;PECAM1;HBB;CD36;ACKR1
KEGG_2021_Human,Ras signaling pathway,12/232,0.0047508089037094,0.0422658171433464,0,0,2.5127272727272727,13.441684736444577,NTRK2;RRAS;ANGPT1;PLA2G1B;AKT3;PIK3R1;TEK;RAPGEF5;FGFR4;GNG11;ETS2;FGFR2
GO_Biological_Process_2023,Myelination (GO:0042552),5/48,0.0036661849606896,0.0423572253132696,0,0,5.316976199553401,29.82081226780096,NFASC;MYRF;PLLP;PMP22;GPM6B
GO_Biological_Process_2023,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),5/48,0.0036661849606896,0.0423572253132696,0,0,5.316976199553401,29.82081226780096,PID1;TYROBP;AGTR1;CD36;TGFBR2
GO_Biological_Process_2023,Regulation Of Amyloid Fibril Formation (GO:1905906),3/15,0.0037529486405936,0.0425756630012281,0,0,11.396270396270396,63.6506026266193,CLU;CRYAB;LDLR
GO_Biological_Process_2023,Digestive Tract Morphogenesis (GO:0048546),3/15,0.0037529486405936,0.0425756630012281,0,0,11.396270396270396,63.6506026266193,FOXF1;TCF21;FGFR2
GO_Biological_Process_2023,Vasodilation (GO:0042311),3/15,0.0037529486405936,0.0425756630012281,0,0,11.396270396270396,63.6506026266193,ADRB2;AGTR2;KLF2
GO_Biological_Process_2023,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),4/30,0.0037707914091264,0.0425756630012281,0,0,7.024442846872754,39.1996952198498,STARD13;MMRN2;GATA2;KLF4
GO_Biological_Process_2023,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),4/30,0.0037707914091264,0.0425756630012281,0,0,7.024442846872754,39.1996952198498,MSR1;AGTR1;CD36;ABCG1
GO_Biological_Process_2023,Brain Development (GO:0007420),10/169,0.0037900953702366,0.0425999859713474,0,0,2.8926346537899787,16.12749139318733,CX3CR1;MEIS1;NFASC;RTN1;PTCH1;AGTR2;EML1;MEIS2;SLC6A4;TGFBR2
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Transport (GO:0032376),4/31,0.0042566842275668,0.0435961723810177,0,0,6.763932156455521,36.926096542674,ABCA3;CAV1;PTCH1;ABCA8
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),7/94,0.0042658534475695,0.0435961723810177,0,0,3.688086544962813,20.12630507801719,EDNRA;DES;FXYD1;LMOD1;MYH11;CRYAB;MYLK
GO_Biological_Process_2023,Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288),6/71,0.0043042687170784,0.0435961723810177,0,0,4.226002166847238,23.02388535390926,MMRN2;SOSTDC1;AGTR2;SLIT2;SMAD6;CHRDL1
GO_Biological_Process_2023,Negative Regulation Of Supramolecular Fiber Organization (GO:1902904),6/71,0.0043042687170784,0.0435961723810177,0,0,4.226002166847238,23.02388535390926,CDH5;SLIT2;CLU;CRYAB;LDLR;KANK3
GO_Biological_Process_2023,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),4/31,0.0042566842275668,0.0435961723810177,0,0,6.763932156455521,36.926096542674,HYAL2;CAV1;TNFSF10;AGTR2
GO_Biological_Process_2023,Organic Substance Transport (GO:0071702),11/201,0.0044380340481267,0.0435961723810177,0,0,2.6648081010126266,14.43671455932531,RAMP2;RAMP3;CALCRL;ABCA3;CAV1;SLCO2A1;AQP4;ABCA8;CLU;AQP1;SLC6A4
GO_Biological_Process_2023,Amylin Receptor Signaling Pathway (GO:0097647),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,RAMP2;RAMP3
GO_Biological_Process_2023,Cell Junction Disassembly (GO:0150146),2/5,0.0044579834849749,0.0435961723810177,0,0,30.33333333333333,164.1961153744115,C1QB;CX3CR1
