probe,log2FC,pvalue,padj
205289_at,-1.2713818139722033,8.314701692400521e-13,1.1623368746032673e-11
202342_s_at,1.1520721968574952,8.925313656884127e-13,1.2430172763521812e-11
208651_x_at,1.3011395758057684,9.011490335475464e-13,1.2534521794344555e-11
219681_s_at,-1.013787348565094,9.18287305349489e-13,1.2764938256458307e-11
201650_at,1.3498342075422247,9.687816016304151e-13,1.3416631714810777e-11
215646_s_at,1.4483352678698083,1.0554631403797772e-12,1.4508874248662909e-11
214247_s_at,-1.2453782607093604,1.0862686288063528e-12,1.491393952907699e-11
204567_s_at,-1.0191669655872637,1.0924560359670464e-12,1.4989653848185773e-11
206239_s_at,2.7583995175429292,1.0998731754732829e-12,1.5082137827120714e-11
201041_s_at,-1.0746593166991598,1.1039789753399526e-12,1.5129128848401082e-11
221884_at,-1.0582730701643186,1.1074680585862933e-12,1.5167615703428626e-11
208767_s_at,1.1134999649106252,1.1090665391947736e-12,1.5180177944027727e-11
217023_x_at,-1.3296140554493316,1.355107220750749e-12,1.835293653427209e-11
210067_at,-1.3613335779215356,1.4065992806639533e-12,1.898440446458805e-11
216474_x_at,-1.5679749388409583,1.4271193177290682e-12,1.9203200336326585e-11
212325_at,-1.029336396934906,1.5207160502273385e-12,2.0388757970647283e-11
211571_s_at,1.553986509383181,1.5558840525846288e-12,2.0797699066432683e-11
203962_s_at,-1.3781312532980294,1.6717414541271009e-12,2.21998896438106e-11
205683_x_at,-1.6258904167178052,1.6774567994772356e-12,2.2249267775447164e-11
210519_s_at,1.5594664950503159,2.1215012004911672e-12,2.772634090941037e-11
213067_at,-1.3481469880038714,2.4771721026315746e-12,3.211100986791121e-11
207542_s_at,-1.3128838522174515,2.5790135256362194e-12,3.3334198603104334e-11
214366_s_at,-1.0192999648631256,2.578183896846259e-12,3.3334198603104334e-11
207134_x_at,-1.5989154340714293,2.718983978510734e-12,3.504171196827917e-11
33322_i_at,1.033732240084447,2.833930332431165e-12,3.645985542584506e-11
201884_at,2.285406718824772,3.0173220956978622e-12,3.872983194610338e-11
218995_s_at,-1.199313560986278,3.1975716466907507e-12,4.083179885570773e-11
203881_s_at,-1.0019897834532019,3.3574659072295633e-12,4.2751093034740777e-11
208960_s_at,-1.0295709681537666,3.386038048848243e-12,4.306568826625879e-11
200606_at,1.6496139261045055,3.647908010907795e-12,4.6106825982449456e-11
213071_at,-1.1312781068187885,3.692977729947089e-12,4.662358229824985e-11
203108_at,-1.053358176805773,3.720628874957301e-12,4.6919509462746767e-11
219117_s_at,1.0614066197276575,3.9371421794867015e-12,4.950978509339852e-11
203889_at,1.3388544142392673,3.971980557489162e-12,4.991970826989904e-11
221730_at,1.543721798041874,4.1410306552402014e-12,5.183965510714461e-11
218976_at,1.3384724985320187,4.2419857616125444e-12,5.2984399510096596e-11
210809_s_at,1.3202868947417308,4.968939550394257e-12,6.1206677723292e-11
219476_at,-1.3637099702146376,5.030860478839672e-12,6.193517350827869e-11
202350_s_at,-1.0630441479588324,5.291461991617963e-12,6.485679183675636e-11
212951_at,-1.2292376056386338,5.684364381607411e-12,6.940531041937421e-11
201467_s_at,1.391985825408515,5.789656955557146e-12,7.053631817423722e-11
221731_x_at,1.1648989769876863,6.195418626866306e-12,7.498778558525905e-11
203358_s_at,1.0106238252508817,6.333308988728337e-12,7.644914636827385e-11
205499_at,1.0236080798698088,6.883623558110669e-12,8.251091110563746e-11
208937_s_at,-1.242673633792048,7.559838090407423e-12,8.974740126187993e-11
212489_at,1.217390847105209,8.965549038480916e-12,1.0525781307927831e-10
213817_at,-1.019724232286067,8.962766425418433e-12,1.0525781307927831e-10
209596_at,1.0072978904841658,9.526755225111264e-12,1.1137706541508621e-10
209071_s_at,-1.005993961143206,1.0199293058162449e-11,1.1868231412949182e-10
221796_at,-1.5041141061766377,1.0582958417605112e-11,1.2295102315927774e-10
208029_s_at,1.0650317217994374,1.153457424500532e-11,1.3338086035363443e-10
209260_at,1.0453417829887401,1.259487822468937e-11,1.448898665362691e-10
204033_at,1.1037443647146388,1.3173685320215864e-11,1.5115820287866636e-10
209696_at,-1.2510153311769887,1.3499481343600299e-11,1.5430829593927815e-10
221577_x_at,1.6617342842878235,1.392780687137973e-11,1.589110704121631e-10
204162_at,1.013191798992258,1.411416175445959e-11,1.6087256592052328e-10
203819_s_at,1.7042931516389874,1.495581417322258e-11,1.695119060131835e-10
202688_at,-1.1481622907603803,1.5008882457333377e-11,1.7002690787837297e-10
219508_at,1.1146499288511622,1.64113135415138e-11,1.846003531779667e-10
204620_s_at,1.1696810720749475,1.9558510855004856e-11,2.1693494145449139e-10
220057_at,1.845646251108728,1.98933010766592e-11,2.2042885524176874e-10
210084_x_at,-1.4628814548328641,2.1051349502362578e-11,2.3210649231130397e-10
201943_s_at,1.0878574008969029,2.2151601472576526e-11,2.4327458630528473e-10
205713_s_at,1.3370194262800865,2.6714271609480906e-11,2.898121296368369e-10
211896_s_at,-1.116854645670303,2.6822937696737616e-11,2.9084940179873686e-10
201468_s_at,1.2430798922593258,3.118399159487283e-11,3.343950359521421e-10
206632_s_at,1.1631153935095,3.287357256672121e-11,3.511609863395248e-10
207850_at,-1.487908083053484,3.684491707763109e-11,3.902163912741699e-10
210066_s_at,-1.045346578113299,4.4470755613768854e-11,4.6437074070904176e-10
209772_s_at,1.0727678235774105,4.541422446971399e-11,4.731019933887971e-10
220393_at,1.3655208603374387,4.740102754278111e-11,4.933382049209676e-10
204122_at,-1.0811411960601696,5.262824594440214e-11,5.439309853335403e-10
212488_at,1.131542578195285,5.845074315943914e-11,6.007647185524827e-10
203820_s_at,1.5488930359028856,6.798439575274627e-11,6.91102322335057e-10
202340_x_at,-1.1580160592044333,8.315504459438009e-11,8.32035859315928e-10
204437_s_at,-1.4261712786833236,8.765617576656583e-11,8.719832877707082e-10
205890_s_at,1.416000329569668,8.981364953332172e-11,8.91852741778524e-10
202669_s_at,-1.211395064760029,9.166782768263536e-11,9.086451086530978e-10
211650_x_at,1.2432758247881779,1.0313716023154488e-10,1.0151387903556685e-09
204286_s_at,1.1618431484672769,1.0782615143027326e-10,1.0556635027771437e-09
215382_x_at,-1.487303869965869,1.092494242992497e-10,1.066785679956258e-09
219148_at,1.2675008410784656,1.0983120468751161e-10,1.0715274667477326e-09
210119_at,-1.1474212982484158,1.1782289471127316e-10,1.1434876144822734e-09
218835_at,-1.8358061275443323,1.205203889780302e-10,1.16712552264122e-09
204734_at,1.815511742589373,1.2123136038606284e-10,1.1735006096796863e-09
203892_at,1.0576129203391993,1.2396462458205304e-10,1.198396411957435e-09
202687_s_at,-1.0482436455348356,1.3412591966710042e-10,1.289356284703192e-09
204351_at,2.1665166269067555,1.3607190591425785e-10,1.3063723737558844e-09
203914_x_at,-1.4648402080052758,1.387920236493786e-10,1.3296228129746791e-09
209644_x_at,1.0199512206720636,1.5345799649240515e-10,1.461951490312212e-09
209173_at,1.4733651729556652,1.7512783877940493e-10,1.6479618376357601e-09
209631_s_at,1.1968787968008447,1.7630934112910703e-10,1.6576797672488995e-09
205725_at,-2.7574229385608735,1.887925807307855e-10,1.7616687924724008e-09
211548_s_at,-1.7459682777466563,1.9956553795028266e-10,1.8505696554915307e-09
222303_at,-1.0071991900689632,2.428040831314705e-10,2.2182875704873135e-09
220196_at,1.3942581244855736,2.5443202975296e-10,2.3131411338168942e-09
36711_at,-1.1703249221294865,2.6128161280460895e-10,2.3676853103396103e-09
212382_at,-1.0433673691537653,2.9571207510684045e-10,2.651650772477153e-09
216557_x_at,1.2861042087160452,2.9676044937396495e-10,2.6599811316975306e-09
204959_at,-1.0003763041562292,3.012760324079585e-10,2.6982853015058438e-09
211798_x_at,1.336274811449334,3.154611371833797e-10,2.8185326863902363e-09
213895_at,-1.0027766821470783,3.2377494879687333e-10,2.8870256838898473e-09
212992_at,1.481607207268472,3.2776408398942053e-10,2.9146850996003093e-09
216510_x_at,1.5232384567244903,3.8657037468350587e-10,3.4060686670907715e-09
206023_at,1.405858832758975,4.3153394146457506e-10,3.778338238764293e-09
205898_at,-1.0081753435197056,4.4281610873350513e-10,3.869518176826939e-09
217281_x_at,1.2014912766984507,4.545875291605045e-10,3.967714027529778e-09
218888_s_at,1.0019097219820559,4.884520348272611e-10,4.231794981359198e-09
211881_x_at,1.234910325090075,4.886551197113526e-10,4.2319090682192265e-09
207741_x_at,-1.1995965541998608,6.099209681062954e-10,5.2112227501198545e-09
211635_x_at,1.3139830290186492,6.190903648260399e-10,5.285513639624003e-09
203372_s_at,-1.1634025857969723,6.681695612937735e-10,5.67842194290967e-09
204174_at,-1.1571893208494028,7.035638144210836e-10,5.945207613479335e-09
209030_s_at,-1.0738662241586905,7.331711258201901e-10,6.178990997220611e-09
211634_x_at,1.4381303345745948,8.353238924638803e-10,6.9557258205428426e-09
204268_at,1.8739863562068964,8.701203187948819e-10,7.231962351251903e-09
215447_at,-1.1014226639539082,9.084633028300426e-10,7.517002516510152e-09
216491_x_at,1.5615165101403967,9.261938519436172e-10,7.652346163462967e-09
207526_s_at,-1.5570309438054206,9.615549976845324e-10,7.921009247099608e-09
201942_s_at,1.1080739245478526,1.2506638522243911e-09,1.0068115108062177e-08
209959_at,-1.0225103144978895,1.446621117120217e-09,1.1541374275971999e-08
209774_x_at,-1.6619455246298358,1.454967030502766e-09,1.159965307359325e-08
212451_at,-1.08633200462421,1.5883128790050716e-09,1.2590670893941662e-08
205229_s_at,1.0067551864215343,1.6483427474012613e-09,1.3049375070355305e-08
